ID,RECEIVE_NO,VENDOR_CODE,VENDOR_NAME,INVOICE_NO,INVOICE_DATE,INVOICE_AMOUNT,GL_ACCOUNT,GL_DESC,COST_CENTER,AMOUNT,JURISDICTION,COMMENT,Text,PO_NO,Class
179,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200010,83.06,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
180,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200010,2105.43,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
181,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200021,54.74,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
182,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200027,85.11,0503725700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
183,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200058,233.11,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
184,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200095,340.63,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
185,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200162,108.44,4803310100,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
186,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200174,79.59,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
187,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200225,97.88,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
188,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200226,43.72,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
189,202305000116,FZX1ES,VERIZON,9933291795,4/23/2023,5824.38,53670300.0,Telecom Exp - Cellular Phone,C3200283,170.31,0508530700,"approved,April Verizon Invocies",VERIZON 771505603-00001 (3/24/23-4/23/23),, IT Facility | Network and Telecommunication Fees | Voice and Telephony Services Fees
