Texonomy Level 1,Texonomy Level 2,Texonomy Level 3,Texonomy Level 4,Texonomy Level 5
Repair & Maintenance - General,Landscaping and Grounds Maintenance,Snow and Ice Removal,,
Repair & Maintenance - General,Pest Control,Regular Pest Control Services,,
Repair & Maintenance - General,Pest Control,Termite Control and Prevention,,
Repair & Maintenance - General,Pest Control,Rodent Control,,
Repair & Maintenance - General,Pest Control,Insect Control,,
Repair & Maintenance - General,Pest Control,Wildlife Control,,
Repair & Maintenance - General,Cleaning and Janitorial Services,Regular Cleaning and Janitorial Services,,
Repair & Maintenance - General,Cleaning and Janitorial Services,Carpet Cleaning and Maintenance,,
Repair & Maintenance - General,Cleaning and Janitorial Services,Window Cleaning,,
Repair & Maintenance - General,Cleaning and Janitorial Services,Upholstery and Furniture Cleaning,,
Repair & Maintenance - General,Cleaning and Janitorial Services,"Hard Floor Maintenance (polishing, waxing, etc.)",,
Repair & Maintenance - General,Cleaning and Janitorial Services,"Specialized Cleaning Services (e.g., high-pressure washing)",,
Repair & Maintenance - General,Security System Maintenance,Alarm System Maintenance and Repairs,,
Repair & Maintenance - General,Security System Maintenance,Access Control System Maintenance and Repairs,,
Repair & Maintenance - General,Security System Maintenance,CCTV System Maintenance and Repairs,,
Repair & Maintenance - General,Security System Maintenance,Fire Alarm System Maintenance and Repairs,,
Repair & Maintenance - General,Security System Maintenance,Security System Upgrades and Enhancements,,
Research & Development - General,Research Personnel,Research Scientists,,
Research & Development - General,Research Personnel,Research Engineers,,
Research & Development - General,Research Personnel,Research Technicians,,
Research & Development - General,Research Personnel,Research Analysts,,
Research & Development - General,Research Personnel,Research Assistants,,
Research & Development - General,Laboratory Equipment and Supplies,Research Equipment,,
Research & Development - General,Laboratory Equipment and Supplies,Laboratory Instruments,,
Research & Development - General,Laboratory Equipment and Supplies,Chemicals and Reagents,,
Research & Development - General,Laboratory Equipment and Supplies,Glassware and Consumables,,
Research & Development - General,Laboratory Equipment and Supplies,Safety Equipment,,
Research & Development - General,Research Software and Tools,Data Analysis and Visualization Tools,,
Research & Development - General,Research Software and Tools,Simulation and Modeling Software,,
Research & Development - General,Research Software and Tools,Statistical Analysis Software,,
Research & Development - General,Research Software and Tools,Design and CAD Software,,
Research & Development - General,Research Software and Tools,Lab Management Software,,
Research & Development - General,Research Facilities,Research Laboratories,,
Research & Development - General,Research Facilities,Cleanrooms,,
Research & Development - General,Research Facilities,Testing Facilities,,
Research & Development - General,Research Facilities,Prototype Development Areas,,
Research & Development - General,Research Facilities,Research Libraries,,
Research & Development - General,Research Collaboration and Partnerships,Research Collaboration Agreements,,
Research & Development - General,Research Collaboration and Partnerships,Joint Research Initiatives,,
Research & Development - General,Research Collaboration and Partnerships,Research Consortium Memberships,,
Research & Development - General,Research Collaboration and Partnerships,University Research Partnerships,,
Research & Development - General,Research Collaboration and Partnerships,Research Grants and Funding,,
Research & Development - General,Intellectual Property (IP) Protection,Patent Applications and Filing Fees,,
Research & Development - General,Intellectual Property (IP) Protection,Patent Attorney and Legal Fees,,
Research & Development - General,Intellectual Property (IP) Protection,Trademark Registration Fees,,
Research & Development - General,Intellectual Property (IP) Protection,Copyright Registration Fees,,
Research & Development - General,Intellectual Property (IP) Protection,Licensing and Royalty Expenses,,
Research & Development - General,Research Publications and Dissemination,Journal Publication Fees,,
Research & Development - General,Research Publications and Dissemination,Conference and Symposium Fees,,
Research & Development - General,Research Publications and Dissemination,Research Presentations and Posters,,
Research & Development - General,Research Publications and Dissemination,Open Access Publication Fees,,
Research & Development - General,Research Publications and Dissemination,Research Communication and Outreach,,
Research & Development - Technical Consulting,Technical Consulting Services,Research and Development (R&D) Consulting Services,,
Research & Development - Technical Consulting,Technical Consulting Services,Technical Advisory Services,,
Research & Development - Technical Consulting,Technical Consulting Services,Feasibility Studies and Assessments,,
Research & Development - Technical Consulting,Technical Consulting Services,Technology Strategy and Roadmap Development,,
Research & Development - Technical Consulting,Technical Consulting Services,Technology Commercialization Consulting,,
Research & Development - Technical Consulting,Technical Consulting Services,Innovation Management Consulting,,
Research & Development - Technical Consulting,Technical Consulting Services,Intellectual Property (IP) Strategy Consulting,,
Research & Development - Technical Consulting,Technical Consulting Services,Competitive Intelligence and Benchmarking,,
Research & Development - Technical Consulting,Technical Consulting Services,Market Research and Analysis,,
Research & Development - Technical Consulting,Technology Development Consulting,Software Development and Architecture Consulting,,
Research & Development - Technical Consulting,Technology Development Consulting,Hardware Design and Development Consulting,,
Research & Development - Technical Consulting,Technology Development Consulting,System Integration and Implementation Consulting,,
Research & Development - Technical Consulting,Technology Development Consulting,Data Analytics and Machine Learning Consulting,,
Research & Development - Technical Consulting,Technology Development Consulting,Artificial Intelligence (AI) and Robotics Consulting,,
Research & Development - Technical Consulting,Technology Development Consulting,Virtual Reality (VR) and Augmented Reality (AR) Consulting,,
Research & Development - Technical Consulting,Technology Development Consulting,Internet of Things (IoT) Consulting,,
Research & Development - Technical Consulting,Scientific Research Consulting,Laboratory Testing and Analysis Consulting,,
Research & Development - Technical Consulting,Scientific Research Consulting,Clinical Research and Trials Consulting,,
Research & Development - Technical Consulting,Scientific Research Consulting,Pharmaceutical Research and Development Consulting,,
Research & Development - Technical Consulting,Scientific Research Consulting,Biotechnology Research and Development Consulting,,
Research & Development - Technical Consulting,Scientific Research Consulting,Environmental Research and Analysis Consulting,,
Research & Development - Technical Consulting,Scientific Research Consulting,Materials Science Research and Development Consulting,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Consulting Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Project Management Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Contracting Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Collaboration Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Testing and Analysis Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Prototype Development Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Data Collection and Analysis Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Intellectual Property Services,,
Research & Development - Outsourcing,Research and Development (R&D) Outsourcing Services,R&D Regulatory Compliance Services,,
Research & Development - Outsourcing,Product Development Outsourcing Services,Product Design and Engineering Services,,
Research & Development - Outsourcing,Product Development Outsourcing Services,Prototype Development and Testing Services,,
Research & Development - Outsourcing,Product Development Outsourcing Services,Manufacturing Process Development Services,,
Research & Development - Outsourcing,Product Development Outsourcing Services,Supply Chain and Logistics Optimization Services,,
Research & Development - Outsourcing,Product Development Outsourcing Services,Quality Assurance and Testing Services,,
Research & Development - Outsourcing,Product Development Outsourcing Services,Regulatory Compliance Services,,
Research & Development - Outsourcing,Technology Development Outsourcing Services,Software Development and Programming Services,,
Research & Development - Outsourcing,Technology Development Outsourcing Services,Hardware Design and Development Services,,
Research & Development - Outsourcing,Technology Development Outsourcing Services,System Integration and Implementation Services,,
Research & Development - Outsourcing,Technology Development Outsourcing Services,Data Analytics and Machine Learning Services,,
Research & Development - Outsourcing,Technology Development Outsourcing Services,Artificial Intelligence (AI) and Robotics Services,,
Research & Development - Outsourcing,Technology Development Outsourcing Services,Virtual Reality (VR) and Augmented Reality (AR) Services,,
Research & Development - Outsourcing,Technology Development Outsourcing Services,Internet of Things (IoT) Development Services,,
Research & Development - Outsourcing,Scientific Research Outsourcing Services,Laboratory Testing and Analysis Services,,
Research & Development - Outsourcing,Scientific Research Outsourcing Services,Clinical Research and Trials Services,,
Research & Development - Outsourcing,Scientific Research Outsourcing Services,Pharmaceutical Research and Development Services,,
Research & Development - Outsourcing,Scientific Research Outsourcing Services,Biotechnology Research and Development Services,,
Research & Development - Outsourcing,Scientific Research Outsourcing Services,Environmental Research and Analysis Services,,
Research & Development - Outsourcing,Scientific Research Outsourcing Services,Materials Science Research and Development Services,,
Research & Development - Outsourcing,Intellectual Property Services,Patent Search and Analysis Services,,
Research & Development - Outsourcing,Intellectual Property Services,Patent Drafting and Filing Services,,
Research & Development - Outsourcing,Intellectual Property Services,Patent Portfolio Management Services,,
Research & Development - Outsourcing,Intellectual Property Services,Trademark Registration and Protection Services,,
Research & Development - Outsourcing,Intellectual Property Services,Copyright Registration and Protection Services,,
Research & Development - Outsourcing,Intellectual Property Services,Licensing and Technology Transfer Services,,
Research & Development - Outsourcing,Regulatory Compliance Services,Regulatory Research and Analysis Services,,
Research & Development - Outsourcing,Regulatory Compliance Services,Compliance Program Development Services,,
Research & Development - Outsourcing,Regulatory Compliance Services,Compliance Audits and Assessments,,
Research & Development - Outsourcing,Regulatory Compliance Services,Environmental Compliance Services,,
Research & Development - Outsourcing,Regulatory Compliance Services,Data Privacy and GDPR Compliance Services,,
